CODE,DESCRIPTION,MUNICITY,MUNICITY_1_2_3_4
045810000,Pililla,045810000Pililla,045810000Pililla
045811000,San Mateo,045811000San Mateo,045811000San Mateo
045812000,Tanay,045812000Tanay,045812000Tanay
045813000,Taytay,045813000Taytay,045813000Taytay
045814000,Teresa,045814000Teresa,045814000Teresa
174001000,Boac (Capital),174001000Boac (Capital),174001000Boac (Capital)
174002000,Buenavista,174002000Buenavista,174002000Buenavista
174003000,Gasan,174003000Gasan,174003000Gasan
174004000,Mogpog,174004000Mogpog,174004000Mogpog
174005000,Santa Cruz,174005000Santa Cruz,174005000Santa Cruz
174006000,Torrijos,174006000Torrijos,174006000Torrijos
175101000,Abra De Ilog,175101000Abra De Ilog,175101000Abra De Ilog
175102000,Calintaan,175102000Calintaan,175102000Calintaan
175103000,Looc,175103000Looc,175103000Looc
175104000,Lubang,175104000Lubang,175104000Lubang
175105000,Magsaysay,175105000Magsaysay,175105000Magsaysay
175106000,Mamburao (Capital),175106000Mamburao (Capital),175106000Mamburao (Capital)
175107000,Paluan,175107000Paluan,175107000Paluan
175108000,Rizal,175108000Rizal,175108000Rizal
175109000,Sablayan,175109000Sablayan,175109000Sablayan
175110000,San Jose,175110000San Jose,175110000San Jose
175111000,Santa Cruz,175111000Santa Cruz,175111000Santa Cruz
175201000,Baco,175201000Baco,175201000Baco
175202000,Bansud,175202000Bansud,175202000Bansud
175203000,Bongabong,175203000Bongabong,175203000Bongabong
175204000,Bulalacao,175204000Bulalacao,175204000Bulalacao
175205000,City of Calapan (Capital),175205000City of Calapan (Capital),175205000City of Calapan (Capital)
175206000,Gloria,175206000Gloria,175206000Gloria
175207000,Mansalay,175207000Mansalay,175207000Mansalay
175208000,Naujan,175208000Naujan,175208000Naujan
175209000,Pinamalayan,175209000Pinamalayan,175209000Pinamalayan
175210000,Pola,175210000Pola,175210000Pola
175211000,Puerto Galera,175211000Puerto Galera,175211000Puerto Galera
175212000,Roxas,175212000Roxas,175212000Roxas
175213000,San Teodoro,175213000San Teodoro,175213000San Teodoro
175214000,Socorro,175214000Socorro,175214000Socorro
175215000,Victoria,175215000Victoria,175215000Victoria
175301000,Aborlan,175301000Aborlan,175301000Aborlan
175302000,Agutaya,175302000Agutaya,175302000Agutaya
175303000,Araceli,175303000Araceli,175303000Araceli
175304000,Balabac,175304000Balabac,175304000Balabac
175305000,Bataraza,175305000Bataraza,175305000Bataraza
175306000,Brooke'S Point,175306000Brooke'S Point,175306000Brooke'S Point
175307000,Busuanga,175307000Busuanga,175307000Busuanga
175308000,Cagayancillo,175308000Cagayancillo,175308000Cagayancillo
175309000,Coron,175309000Coron,175309000Coron
175310000,Cuyo,175310000Cuyo,175310000Cuyo
175311000,Dumaran,175311000Dumaran,175311000Dumaran
175312000,El Nido,175312000El Nido,175312000El Nido
175313000,Linapacan,175313000Linapacan,175313000Linapacan
175314000,Magsaysay,175314000Magsaysay,175314000Magsaysay
175315000,Narra,175315000Narra,175315000Narra
175316000,City of Puerto Princesa (Capital),175316000City of Puerto Princesa (Capital),175316000City of Puerto Princesa (Capital)
175317000,Quezon,175317000Quezon,175317000Quezon
175318000,Roxas,175318000Roxas,175318000Roxas
175319000,San Vicente,175319000San Vicente,175319000San Vicente
175320000,Taytay,175320000Taytay,175320000Taytay
175321000,Kalayaan,175321000Kalayaan,175321000Kalayaan
175322000,Culion,175322000Culion,175322000Culion
175323000,Rizal,175323000Rizal,175323000Rizal
175324000,Sofronio Española,175324000Sofronio Española,175324000Sofronio Española
175901000,Alcantara,175901000Alcantara,175901000Alcantara
175902000,Banton,175902000Banton,175902000Banton
175903000,Cajidiocan,175903000Cajidiocan,175903000Cajidiocan
175904000,Calatrava,175904000Calatrava,175904000Calatrava
175905000,Concepcion,175905000Concepcion,175905000Concepcion
175906000,Corcuera,175906000Corcuera,175906000Corcuera
175907000,Looc,175907000Looc,175907000Looc
175908000,Magdiwang,175908000Magdiwang,175908000Magdiwang
175909000,Odiongan,175909000Odiongan,175909000Odiongan
175910000,Romblon (Capital),175910000Romblon (Capital),175910000Romblon (Capital)
175911000,San Agustin,175911000San Agustin,175911000San Agustin
175912000,San Andres,175912000San Andres,175912000San Andres
175913000,San Fernando,175913000San Fernando,175913000San Fernando
175914000,San Jose,175914000San Jose,175914000San Jose
175915000,Santa Fe,175915000Santa Fe,175915000Santa Fe
175916000,Ferrol,175916000Ferrol,175916000Ferrol
175917000,Santa Maria,175917000Santa Maria,175917000Santa Maria
050501000,Bacacay,050501000Bacacay,050501000Bacacay
050502000,Camalig,050502000Camalig,050502000Camalig
050503000,Daraga,050503000Daraga,050503000Daraga
050504000,Guinobatan,050504000Guinobatan,050504000Guinobatan
050505000,Jovellar,050505000Jovellar,050505000Jovellar
050506000,City of Legazpi (Capital),050506000City of Legazpi (Capital),050506000City of Legazpi (Capital)
050507000,Libon,050507000Libon,050507000Libon
050508000,City of Ligao,050508000City of Ligao,050508000City of Ligao
050509000,Malilipot,050509000Malilipot,050509000Malilipot
050510000,Malinao,050510000Malinao,050510000Malinao
050511000,Manito,050511000Manito,050511000Manito
050512000,Oas,050512000Oas,050512000Oas
050513000,Pio Duran,050513000Pio Duran,050513000Pio Duran
050514000,Polangui,050514000Polangui,050514000Polangui
050515000,Rapu-Rapu,050515000Rapu-Rapu,050515000Rapu-Rapu
050516000,Santo Domingo,050516000Santo Domingo,050516000Santo Domingo
050517000,City of Tabaco,050517000City of Tabaco,050517000City of Tabaco
050518000,Tiwi,050518000Tiwi,050518000Tiwi
051601000,Basud,051601000Basud,051601000Basud
051602000,Capalonga,051602000Capalonga,051602000Capalonga
051603000,Daet (Capital),051603000Daet (Capital),051603000Daet (Capital)
051604000,San Lorenzo Ruiz,051604000San Lorenzo Ruiz,051604000San Lorenzo Ruiz
051605000,Jose Panganiban,051605000Jose Panganiban,051605000Jose Panganiban
051606000,Labo,051606000Labo,051606000Labo
051607000,Mercedes,051607000Mercedes,051607000Mercedes
051608000,Paracale,051608000Paracale,051608000Paracale
051609000,San Vicente,051609000San Vicente,051609000San Vicente
051610000,Santa Elena,051610000Santa Elena,051610000Santa Elena
051611000,Talisay,051611000Talisay,051611000Talisay
051612000,Vinzons,051612000Vinzons,051612000Vinzons
051701000,Baao,051701000Baao,051701000Baao
051702000,Balatan,051702000Balatan,051702000Balatan
051703000,Bato,051703000Bato,051703000Bato
051704000,Bombon,051704000Bombon,051704000Bombon
051705000,Buhi,051705000Buhi,051705000Buhi
051706000,Bula,051706000Bula,051706000Bula
051707000,Cabusao,051707000Cabusao,051707000Cabusao
051708000,Calabanga,051708000Calabanga,051708000Calabanga
051709000,Camaligan,051709000Camaligan,051709000Camaligan
051710000,Canaman,051710000Canaman,051710000Canaman
051711000,Caramoan,051711000Caramoan,051711000Caramoan
051712000,Del Gallego,051712000Del Gallego,051712000Del Gallego
051713000,Gainza,051713000Gainza,051713000Gainza
051714000,Garchitorena,051714000Garchitorena,051714000Garchitorena
051715000,Goa,051715000Goa,051715000Goa
051716000,City of Iriga,051716000City of Iriga,051716000City of Iriga
051717000,Lagonoy,051717000Lagonoy,051717000Lagonoy
051718000,Libmanan,051718000Libmanan,051718000Libmanan
051719000,Lupi,051719000Lupi,051719000Lupi
051720000,Magarao,051720000Magarao,051720000Magarao
051721000,Milaor,051721000Milaor,051721000Milaor
051722000,Minalabac,051722000Minalabac,051722000Minalabac
051723000,Nabua,051723000Nabua,051723000Nabua
051724000,City of Naga,051724000City of Naga,051724000City of Naga
051725000,Ocampo,051725000Ocampo,051725000Ocampo
051726000,Pamplona,051726000Pamplona,051726000Pamplona
051727000,Pasacao,051727000Pasacao,051727000Pasacao
051728000,Pili (Capital),051728000Pili (Capital),051728000Pili (Capital)
051729000,Presentacion,051729000Presentacion,051729000Presentacion
051730000,Ragay,051730000Ragay,051730000Ragay
051731000,Sagñay,051731000Sagñay,051731000Sagñay
051732000,San Fernando,051732000San Fernando,051732000San Fernando
051733000,San Jose,051733000San Jose,051733000San Jose
051734000,Sipocot,051734000Sipocot,051734000Sipocot
051735000,Siruma,051735000Siruma,051735000Siruma
051736000,Tigaon,051736000Tigaon,051736000Tigaon
051737000,Tinambac,051737000Tinambac,051737000Tinambac
052001000,Bagamanoc,052001000Bagamanoc,052001000Bagamanoc
052002000,Baras,052002000Baras,052002000Baras
052003000,Bato,052003000Bato,052003000Bato
052004000,Caramoran,052004000Caramoran,052004000Caramoran
052005000,Gigmoto,052005000Gigmoto,052005000Gigmoto
052006000,Pandan,052006000Pandan,052006000Pandan
052007000,Panganiban,052007000Panganiban,052007000Panganiban
052008000,San Andres,052008000San Andres,052008000San Andres
052009000,San Miguel,052009000San Miguel,052009000San Miguel
052010000,Viga,052010000Viga,052010000Viga
052011000,Virac (Capital),052011000Virac (Capital),052011000Virac (Capital)
054101000,Aroroy,054101000Aroroy,054101000Aroroy
054102000,Baleno,054102000Baleno,054102000Baleno
054103000,Balud,054103000Balud,054103000Balud
054104000,Batuan,054104000Batuan,054104000Batuan
054105000,Cataingan,054105000Cataingan,054105000Cataingan
054106000,Cawayan,054106000Cawayan,054106000Cawayan
054107000,Claveria,054107000Claveria,054107000Claveria
054108000,Dimasalang,054108000Dimasalang,054108000Dimasalang
054109000,Esperanza,054109000Esperanza,054109000Esperanza
054110000,Mandaon,054110000Mandaon,054110000Mandaon
054111000,City of Masbate (Capital),054111000City of Masbate (Capital),054111000City of Masbate (Capital)
054112000,Milagros,054112000Milagros,054112000Milagros
054113000,Mobo,054113000Mobo,054113000Mobo
054114000,Monreal,054114000Monreal,054114000Monreal
054115000,Palanas,054115000Palanas,054115000Palanas
054116000,Pio V. Corpuz,054116000Pio V. Corpuz,054116000Pio V. Corpuz
054117000,Placer,054117000Placer,054117000Placer
054118000,San Fernando,054118000San Fernando,054118000San Fernando
054119000,San Jacinto,054119000San Jacinto,054119000San Jacinto
054120000,San Pascual,054120000San Pascual,054120000San Pascual
054121000,Uson,054121000Uson,054121000Uson
056202000,Barcelona,056202000Barcelona,056202000Barcelona
056203000,Bulan,056203000Bulan,056203000Bulan
056204000,Bulusan,056204000Bulusan,056204000Bulusan
056205000,Casiguran,056205000Casiguran,056205000Casiguran
056206000,Castilla,056206000Castilla,056206000Castilla
056207000,Donsol,056207000Donsol,056207000Donsol
056208000,Gubat,056208000Gubat,056208000Gubat
056209000,Irosin,056209000Irosin,056209000Irosin
056210000,Juban,056210000Juban,056210000Juban
056211000,Magallanes,056211000Magallanes,056211000Magallanes
056212000,Matnog,056212000Matnog,056212000Matnog
056213000,Pilar,056213000Pilar,056213000Pilar
056214000,Prieto Diaz,056214000Prieto Diaz,056214000Prieto Diaz
056215000,Santa Magdalena,056215000Santa Magdalena,056215000Santa Magdalena
056216000,City of Sorsogon (Capital),056216000City of Sorsogon (Capital),056216000City of Sorsogon (Capital)
060401000,Altavas,060401000Altavas,060401000Altavas
060402000,Balete,060402000Balete,060402000Balete
060403000,Banga,060403000Banga,060403000Banga
060404000,Batan,060404000Batan,060404000Batan
060405000,Buruanga,060405000Buruanga,060405000Buruanga
060406000,Ibajay,060406000Ibajay,060406000Ibajay
060407000,Kalibo (Capital),060407000Kalibo (Capital),060407000Kalibo (Capital)
060408000,Lezo,060408000Lezo,060408000Lezo
060409000,Libacao,060409000Libacao,060409000Libacao
060410000,Madalag,060410000Madalag,060410000Madalag
060411000,Makato,060411000Makato,060411000Makato
060412000,Malay,060412000Malay,060412000Malay
060413000,Malinao,060413000Malinao,060413000Malinao
060414000,Nabas,060414000Nabas,060414000Nabas
060415000,New Washington,060415000New Washington,060415000New Washington
060416000,Numancia,060416000Numancia,060416000Numancia
060417000,Tangalan,060417000Tangalan,060417000Tangalan
060601000,Anini-Y,060601000Anini-Y,060601000Anini-Y
060602000,Barbaza,060602000Barbaza,060602000Barbaza
060603000,Belison,060603000Belison,060603000Belison
060604000,Bugasong,060604000Bugasong,060604000Bugasong
060605000,Caluya,060605000Caluya,060605000Caluya
060606000,Culasi,060606000Culasi,060606000Culasi
060607000,Tobias Fornier,060607000Tobias Fornier,060607000Tobias Fornier
060608000,Hamtic,060608000Hamtic,060608000Hamtic
060609000,Laua-An,060609000Laua-An,060609000Laua-An
060610000,Libertad,060610000Libertad,060610000Libertad
060611000,Pandan,060611000Pandan,060611000Pandan
060612000,Patnongon,060612000Patnongon,060612000Patnongon
060613000,San Jose (Capital),060613000San Jose (Capital),060613000San Jose (Capital)
060614000,San Remigio,060614000San Remigio,060614000San Remigio
060615000,Sebaste,060615000Sebaste,060615000Sebaste
060616000,Sibalom,060616000Sibalom,060616000Sibalom
060617000,Tibiao,060617000Tibiao,060617000Tibiao
060618000,Valderrama,060618000Valderrama,060618000Valderrama
061901000,Cuartero,061901000Cuartero,061901000Cuartero
061902000,Dao,061902000Dao,061902000Dao
061903000,Dumalag,061903000Dumalag,061903000Dumalag
061904000,Dumarao,061904000Dumarao,061904000Dumarao
061905000,Ivisan,061905000Ivisan,061905000Ivisan
061906000,Jamindan,061906000Jamindan,061906000Jamindan
061907000,Ma-Ayon,061907000Ma-Ayon,061907000Ma-Ayon
061908000,Mambusao,061908000Mambusao,061908000Mambusao
061909000,Panay,061909000Panay,061909000Panay
061910000,Panitan,061910000Panitan,061910000Panitan
061911000,Pilar,061911000Pilar,061911000Pilar
061912000,Pontevedra,061912000Pontevedra,061912000Pontevedra
061913000,President Roxas,061913000President Roxas,061913000President Roxas
061914000,City of Roxas (Capital),061914000City of Roxas (Capital),061914000City of Roxas (Capital)
061915000,Sapi-An,061915000Sapi-An,061915000Sapi-An
061916000,Sigma,061916000Sigma,061916000Sigma
061917000,Tapaz,061917000Tapaz,061917000Tapaz
063001000,Ajuy,063001000Ajuy,063001000Ajuy
063002000,Alimodian,063002000Alimodian,063002000Alimodian
063003000,Anilao,063003000Anilao,063003000Anilao
063004000,Badiangan,063004000Badiangan,063004000Badiangan
063005000,Balasan,063005000Balasan,063005000Balasan
063006000,Banate,063006000Banate,063006000Banate
063007000,Barotac Nuevo,063007000Barotac Nuevo,063007000Barotac Nuevo
063008000,Barotac Viejo,063008000Barotac Viejo,063008000Barotac Viejo
063009000,Batad,063009000Batad,063009000Batad
063010000,Bingawan,063010000Bingawan,063010000Bingawan
063012000,Cabatuan,063012000Cabatuan,063012000Cabatuan
063013000,Calinog,063013000Calinog,063013000Calinog
063014000,Carles,063014000Carles,063014000Carles
063015000,Concepcion,063015000Concepcion,063015000Concepcion
063016000,Dingle,063016000Dingle,063016000Dingle
063017000,Dueñas,063017000Dueñas,063017000Dueñas
063018000,Dumangas,063018000Dumangas,063018000Dumangas
063019000,Estancia,063019000Estancia,063019000Estancia
063020000,Guimbal,063020000Guimbal,063020000Guimbal
063021000,Igbaras,063021000Igbaras,063021000Igbaras
063022000,City of Iloilo (Capital),063022000City of Iloilo (Capital),063022000City of Iloilo (Capital)
063023000,Janiuay,063023000Janiuay,063023000Janiuay
063025000,Lambunao,063025000Lambunao,063025000Lambunao
063026000,Leganes,063026000Leganes,063026000Leganes
063027000,Lemery,063027000Lemery,063027000Lemery
063028000,Leon,063028000Leon,063028000Leon
063029000,Maasin,063029000Maasin,063029000Maasin
063030000,Miagao,063030000Miagao,063030000Miagao
063031000,Mina,063031000Mina,063031000Mina
063032000,New Lucena,063032000New Lucena,063032000New Lucena
063034000,Oton,063034000Oton,063034000Oton
063035000,City of Passi,063035000City of Passi,063035000City of Passi
063036000,Pavia,063036000Pavia,063036000Pavia
063037000,Pototan,063037000Pototan,063037000Pototan
063038000,San Dionisio,063038000San Dionisio,063038000San Dionisio
063039000,San Enrique,063039000San Enrique,063039000San Enrique
063040000,San Joaquin,063040000San Joaquin,063040000San Joaquin
063041000,San Miguel,063041000San Miguel,063041000San Miguel
063042000,San Rafael,063042000San Rafael,063042000San Rafael
063043000,Santa Barbara,063043000Santa Barbara,063043000Santa Barbara
063044000,Sara,063044000Sara,063044000Sara
063045000,Tigbauan,063045000Tigbauan,063045000Tigbauan
063046000,Tubungan,063046000Tubungan,063046000Tubungan
063047000,Zarraga,063047000Zarraga,063047000Zarraga
064501000,City of Bacolod (Capital),064501000City of Bacolod (Capital),064501000City of Bacolod (Capital)
064502000,City of Bago,064502000City of Bago,064502000City of Bago
064503000,Binalbagan,064503000Binalbagan,064503000Binalbagan
064504000,City of Cadiz,064504000City of Cadiz,064504000City of Cadiz
064505000,Calatrava,064505000Calatrava,064505000Calatrava
064506000,Candoni,064506000Candoni,064506000Candoni
064507000,Cauayan,064507000Cauayan,064507000Cauayan
064508000,Enrique B. Magalona,064508000Enrique B. Magalona,064508000Enrique B. Magalona
064509000,City of Escalante,064509000City of Escalante,064509000City of Escalante
064510000,City of Himamaylan,064510000City of Himamaylan,064510000City of Himamaylan
064511000,Hinigaran,064511000Hinigaran,064511000Hinigaran
064512000,Hinoba-an,064512000Hinoba-an,064512000Hinoba-an
064513000,Ilog,064513000Ilog,064513000Ilog
064514000,Isabela,064514000Isabela,064514000Isabela
064515000,City of Kabankalan,064515000City of Kabankalan,064515000City of Kabankalan
064516000,City of La Carlota,064516000City of La Carlota,064516000City of La Carlota
064517000,La Castellana,064517000La Castellana,064517000La Castellana
064518000,Manapla,064518000Manapla,064518000Manapla
064519000,Moises Padilla,064519000Moises Padilla,064519000Moises Padilla
064520000,Murcia,064520000Murcia,064520000Murcia
064521000,Pontevedra,064521000Pontevedra,064521000Pontevedra
064522000,Pulupandan,064522000Pulupandan,064522000Pulupandan
064523000,City of Sagay,064523000City of Sagay,064523000City of Sagay
064524000,City of San Carlos,064524000City of San Carlos,064524000City of San Carlos
064525000,San Enrique,064525000San Enrique,064525000San Enrique
064526000,City of Silay,064526000City of Silay,064526000City of Silay
064527000,City of Sipalay,064527000City of Sipalay,064527000City of Sipalay
064528000,City of Talisay,064528000City of Talisay,064528000City of Talisay
064529000,Toboso,064529000Toboso,064529000Toboso
064530000,Valladolid,064530000Valladolid,064530000Valladolid
064531000,City of Victorias,064531000City of Victorias,064531000City of Victorias
064532000,Salvador Benedicto,064532000Salvador Benedicto,064532000Salvador Benedicto
067901000,Buenavista,067901000Buenavista,067901000Buenavista
067902000,Jordan (Capital),067902000Jordan (Capital),067902000Jordan (Capital)
067903000,Nueva Valencia,067903000Nueva Valencia,067903000Nueva Valencia
067904000,San Lorenzo,067904000San Lorenzo,067904000San Lorenzo
067905000,Sibunag,067905000Sibunag,067905000Sibunag
071201000,Alburquerque,071201000Alburquerque,071201000Alburquerque
071202000,Alicia,071202000Alicia,071202000Alicia
071203000,Anda,071203000Anda,071203000Anda
071204000,Antequera,071204000Antequera,071204000Antequera
071205000,Baclayon,071205000Baclayon,071205000Baclayon
071206000,Balilihan,071206000Balilihan,071206000Balilihan
071207000,Batuan,071207000Batuan,071207000Batuan
071208000,Bilar,071208000Bilar,071208000Bilar
071209000,Buenavista,071209000Buenavista,071209000Buenavista
071210000,Calape,071210000Calape,071210000Calape
071211000,Candijay,071211000Candijay,071211000Candijay
071212000,Carmen,071212000Carmen,071212000Carmen
071213000,Catigbian,071213000Catigbian,071213000Catigbian
071214000,Clarin,071214000Clarin,071214000Clarin
071215000,Corella,071215000Corella,071215000Corella
071216000,Cortes,071216000Cortes,071216000Cortes
071217000,Dagohoy,071217000Dagohoy,071217000Dagohoy
071218000,Danao,071218000Danao,071218000Danao
071219000,Dauis,071219000Dauis,071219000Dauis
071220000,Dimiao,071220000Dimiao,071220000Dimiao
071221000,Duero,071221000Duero,071221000Duero
071222000,Garcia Hernandez,071222000Garcia Hernandez,071222000Garcia Hernandez
071223000,Guindulman,071223000Guindulman,071223000Guindulman
071224000,Inabanga,071224000Inabanga,071224000Inabanga
071225000,Jagna,071225000Jagna,071225000Jagna
071226000,Getafe,071226000Getafe,071226000Getafe
071227000,Lila,071227000Lila,071227000Lila
071228000,Loay,071228000Loay,071228000Loay
071229000,Loboc,071229000Loboc,071229000Loboc
071230000,Loon,071230000Loon,071230000Loon
071231000,Mabini,071231000Mabini,071231000Mabini
071232000,Maribojoc,071232000Maribojoc,071232000Maribojoc
071233000,Panglao,071233000Panglao,071233000Panglao
071234000,Pilar,071234000Pilar,071234000Pilar
071235000,President Carlos P. Garcia,071235000President Carlos P. Garcia,071235000President Carlos P. Garcia
071236000,Sagbayan,071236000Sagbayan,071236000Sagbayan
071237000,San Isidro,071237000San Isidro,071237000San Isidro
071238000,San Miguel,071238000San Miguel,071238000San Miguel
071239000,Sevilla,071239000Sevilla,071239000Sevilla
071240000,Sierra Bullones,071240000Sierra Bullones,071240000Sierra Bullones
071241000,Sikatuna,071241000Sikatuna,071241000Sikatuna
071242000,City of Tagbilaran (Capital),071242000City of Tagbilaran (Capital),071242000City of Tagbilaran (Capital)
071243000,Talibon,071243000Talibon,071243000Talibon
071244000,Trinidad,071244000Trinidad,071244000Trinidad
071245000,Tubigon,071245000Tubigon,071245000Tubigon
071246000,Ubay,071246000Ubay,071246000Ubay
071247000,Valencia,071247000Valencia,071247000Valencia
071248000,Bien Unido,071248000Bien Unido,071248000Bien Unido
072201000,Alcantara,072201000Alcantara,072201000Alcantara
072202000,Alcoy,072202000Alcoy,072202000Alcoy
072203000,Alegria,072203000Alegria,072203000Alegria
072204000,Aloguinsan,072204000Aloguinsan,072204000Aloguinsan
072205000,Argao,072205000Argao,072205000Argao
072206000,Asturias,072206000Asturias,072206000Asturias
072207000,Badian,072207000Badian,072207000Badian
072208000,Balamban,072208000Balamban,072208000Balamban
072209000,Bantayan,072209000Bantayan,072209000Bantayan
072210000,Barili,072210000Barili,072210000Barili
072211000,City of Bogo,072211000City of Bogo,072211000City of Bogo
072212000,Boljoon,072212000Boljoon,072212000Boljoon
072213000,Borbon,072213000Borbon,072213000Borbon
072214000,City of Carcar,072214000City of Carcar,072214000City of Carcar
072215000,Carmen,072215000Carmen,072215000Carmen
072216000,Catmon,072216000Catmon,072216000Catmon
072217000,City of Cebu (Capital),072217000City of Cebu (Capital),072217000City of Cebu (Capital)
072218000,Compostela,072218000Compostela,072218000Compostela
072219000,Consolacion,072219000Consolacion,072219000Consolacion
072220000,Cordova,072220000Cordova,072220000Cordova
072221000,Daanbantayan,072221000Daanbantayan,072221000Daanbantayan
072222000,Dalaguete,072222000Dalaguete,072222000Dalaguete
072223000,Danao City,072223000Danao City,072223000Danao City
072224000,Dumanjug,072224000Dumanjug,072224000Dumanjug
072225000,Ginatilan,072225000Ginatilan,072225000Ginatilan
072226000,City of Lapu-Lapu,072226000City of Lapu-Lapu,072226000City of Lapu-Lapu
072227000,Liloan,072227000Liloan,072227000Liloan
072228000,Madridejos,072228000Madridejos,072228000Madridejos
072229000,Malabuyoc,072229000Malabuyoc,072229000Malabuyoc
072230000,City of Mandaue,072230000City of Mandaue,072230000City of Mandaue
072231000,Medellin,072231000Medellin,072231000Medellin
072232000,Minglanilla,072232000Minglanilla,072232000Minglanilla
072233000,Moalboal,072233000Moalboal,072233000Moalboal
072234000,City of Naga,072234000City of Naga,072234000City of Naga
072235000,Oslob,072235000Oslob,072235000Oslob
072236000,Pilar,072236000Pilar,072236000Pilar
072237000,Pinamungajan,072237000Pinamungajan,072237000Pinamungajan
072238000,Poro,072238000Poro,072238000Poro
072239000,Ronda,072239000Ronda,072239000Ronda
072240000,Samboan,072240000Samboan,072240000Samboan
072241000,San Fernando,072241000San Fernando,072241000San Fernando
072242000,San Francisco,072242000San Francisco,072242000San Francisco
072243000,San Remigio,072243000San Remigio,072243000San Remigio
072244000,Santa Fe,072244000Santa Fe,072244000Santa Fe
072245000,Santander,072245000Santander,072245000Santander
072246000,Sibonga,072246000Sibonga,072246000Sibonga
072247000,Sogod,072247000Sogod,072247000Sogod
072248000,Tabogon,072248000Tabogon,072248000Tabogon
072249000,Tabuelan,072249000Tabuelan,072249000Tabuelan
072250000,City of Talisay,072250000City of Talisay,072250000City of Talisay
072251000,City of Toledo,072251000City of Toledo,072251000City of Toledo
072252000,Tuburan,072252000Tuburan,072252000Tuburan
072253000,Tudela,072253000Tudela,072253000Tudela
074601000,Amlan,074601000Amlan,074601000Amlan
074602000,Ayungon,074602000Ayungon,074602000Ayungon
074603000,Bacong,074603000Bacong,074603000Bacong
074604000,City of Bais,074604000City of Bais,074604000City of Bais
074605000,Basay,074605000Basay,074605000Basay
074606000,City of Bayawan,074606000City of Bayawan,074606000City of Bayawan
074607000,Bindoy,074607000Bindoy,074607000Bindoy
074608000,City of Canlaon,074608000City of Canlaon,074608000City of Canlaon
074609000,Dauin,074609000Dauin,074609000Dauin
074610000,City of Dumaguete (Capital),074610000City of Dumaguete (Capital),074610000City of Dumaguete (Capital)
074611000,City of Guihulngan,074611000City of Guihulngan,074611000City of Guihulngan
074612000,Jimalalud,074612000Jimalalud,074612000Jimalalud
074613000,La Libertad,074613000La Libertad,074613000La Libertad
074614000,Mabinay,074614000Mabinay,074614000Mabinay
074615000,Manjuyod,074615000Manjuyod,074615000Manjuyod
074616000,Pamplona,074616000Pamplona,074616000Pamplona
074617000,San Jose,074617000San Jose,074617000San Jose
074618000,Santa Catalina,074618000Santa Catalina,074618000Santa Catalina
074619000,Siaton,074619000Siaton,074619000Siaton
074620000,Sibulan,074620000Sibulan,074620000Sibulan
074621000,City of Tanjay,074621000City of Tanjay,074621000City of Tanjay
074622000,Tayasan,074622000Tayasan,074622000Tayasan
074623000,Valencia,074623000Valencia,074623000Valencia
074624000,Vallehermoso,074624000Vallehermoso,074624000Vallehermoso
074625000,Zamboanguita,074625000Zamboanguita,074625000Zamboanguita
076101000,Enrique Villanueva,076101000Enrique Villanueva,076101000Enrique Villanueva
076102000,Larena,076102000Larena,076102000Larena
076103000,Lazi,076103000Lazi,076103000Lazi
076104000,Maria,076104000Maria,076104000Maria
076105000,San Juan,076105000San Juan,076105000San Juan
076106000,Siquijor (Capital),076106000Siquijor (Capital),076106000Siquijor (Capital)
082601000,Arteche,082601000Arteche,082601000Arteche
082602000,Balangiga,082602000Balangiga,082602000Balangiga
082603000,Balangkayan,082603000Balangkayan,082603000Balangkayan
082604000,City of Borongan (Capital),082604000City of Borongan (Capital),082604000City of Borongan (Capital)
082605000,Can-Avid,082605000Can-Avid,082605000Can-Avid
082606000,Dolores,082606000Dolores,082606000Dolores
082607000,General Macarthur,082607000General Macarthur,082607000General Macarthur
082608000,Giporlos,082608000Giporlos,082608000Giporlos
082609000,Guiuan,082609000Guiuan,082609000Guiuan
082610000,Hernani,082610000Hernani,082610000Hernani
082611000,Jipapad,082611000Jipapad,082611000Jipapad
082612000,Lawaan,082612000Lawaan,082612000Lawaan
082613000,Llorente,082613000Llorente,082613000Llorente
082614000,Maslog,082614000Maslog,082614000Maslog
082615000,Maydolong,082615000Maydolong,082615000Maydolong
082616000,Mercedes,082616000Mercedes,082616000Mercedes
082617000,Oras,082617000Oras,082617000Oras
082618000,Quinapondan,082618000Quinapondan,082618000Quinapondan
082619000,Salcedo,082619000Salcedo,082619000Salcedo
082620000,San Julian,082620000San Julian,082620000San Julian
082621000,San Policarpo,082621000San Policarpo,082621000San Policarpo
082622000,Sulat,082622000Sulat,082622000Sulat
082623000,Taft,082623000Taft,082623000Taft
083701000,Abuyog,083701000Abuyog,083701000Abuyog
083702000,Alangalang,083702000Alangalang,083702000Alangalang
083703000,Albuera,083703000Albuera,083703000Albuera
083705000,Babatngon,083705000Babatngon,083705000Babatngon
083706000,Barugo,083706000Barugo,083706000Barugo
083707000,Bato,083707000Bato,083707000Bato
083708000,City of Baybay,083708000City of Baybay,083708000City of Baybay
083710000,Burauen,083710000Burauen,083710000Burauen
083713000,Calubian,083713000Calubian,083713000Calubian
083714000,Capoocan,083714000Capoocan,083714000Capoocan
083715000,Carigara,083715000Carigara,083715000Carigara
083717000,Dagami,083717000Dagami,083717000Dagami
083718000,Dulag,083718000Dulag,083718000Dulag
